 County Name ,FIPS #, County # ,Public Health Region (11),Health Service Region (8),Metropolitan Statistical Area (MSA),Metropolitan Divisions (MD),Metro Area (82),NCHS Urban Rural Classification (2006),NCHS Urban Rural Classification (2013),Border 32 (La Paz Agreement),Border 15
 Ellis ,139, 70 ,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 El Paso ,141, 71 ,10,9/10,El Paso,--,Metro,Medium Metro,Medium Metro,Border,Border
 Erath ,143, 72 ,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Falls ,145, 73 ,7,7,Waco,--,Metro,Noncore,Medium Metro,Non-Border,Non-Border
 Fannin ,147, 74 ,3,2/3,--,--,Non-Metro,Micropolitan,Non-core,Non-Border,Non-Border
 Fayette ,149, 75 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Fisher ,151, 76 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Floyd ,153, 77 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Foard ,155, 78 ,2,2/3,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Fort Bend ,157, 79 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Franklin ,159, 80 ,4,4/5N,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Freestone ,161, 81 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Frio ,163, 82 ,8,8,--,--,Non-Metro,Noncore,Non-core,Border,Non-Border
 Gaines ,165, 83 ,9,9/10,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Galveston ,167, 84 ,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Garza ,169, 85 ,1,1,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Gillespie ,171, 86 ,8,8,--,--,Non-Metro,Noncore,Micropolitan,Non-Border,Non-Border
 Glasscock ,173, 87 ,9,9/10,--,--,Non-Metro,Noncore,Micropolitan,Non-Border,Non-Border
 Goliad ,175, 88 ,8,8,Victoria,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Gonzales ,177, 89 ,8,8,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Gray ,179, 90 ,1,1,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
 Grayson ,181, 91 ,3,2/3,Sherman-Denison,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Gregg ,183, 92 ,4,4/5N,Longview,--,Metro,Small Metro,Small Metro,Non-Border,Non-Border
 Grimes ,185, 93 ,7,7,--,--,Non-Metro,Noncore,Non-core,Non-Border,Non-Border
 Guadalupe ,187, 94 ,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro,Non-Border,Non-Border
 Hale ,189, 95 ,1,1,--,--,Non-Metro,Micropolitan,Micropolitan,Non-Border,Non-Border
